Iteration,File Group,Num Channels,Channel,Files Sent,Total Size (MB),Time Taken (s),Bandwidth (MB/s)
1,small,1,Channel 1,7,50.0,0.6449592113494873,77.52428234241661
1,small,2,Channel 1,4,29.0,0.5575106143951416,52.01694685483771
1,small,2,Channel 2,3,21.0,0.5575158596038818,37.66708989215234
1,small,3,Channel 1,3,23.0,0.6653704643249512,34.56720914616274
1,small,3,Channel 2,2,15.0,0.6657030582427979,22.532568859746984
1,small,3,Channel 3,2,12.0,0.6657052040100098,18.0259969844243
1,medium,1,Channel 1,12,149.0,3.7981250286102295,39.22988287052797
1,medium,2,Channel 1,6,78.0,1.9287362098693848,40.440989079207576
1,medium,2,Channel 2,6,71.0,1.9287419319152832,36.81156033637711
1,medium,3,Channel 1,4,52.0,2.7511651515960693,18.901082681216923
1,medium,3,Channel 2,4,49.0,2.751168966293335,17.810610907703705
1,medium,3,Channel 3,4,48.0,2.751169204711914,17.44712754046194
1,large,1,Channel 1,6,109.0,1.7240691184997559,63.22252329120611
1,large,2,Channel 1,3,54.0,1.79506254196167,30.082517314961088
1,large,2,Channel 2,3,55.0,1.7950668334960938,30.63952771768466
1,large,3,Channel 1,2,36.0,1.8164434432983398,19.818949019756086
1,large,3,Channel 2,2,35.0,1.8164479732513428,19.26837460549553
1,large,3,Channel 3,2,38.0,1.8164491653442383,20.919935842409636
2,small,1,Channel 1,7,50.0,0.6675589084625244,74.8997569595117
2,small,2,Channel 1,4,29.0,0.7076389789581299,40.98134905272918
2,small,2,Channel 2,3,21.0,0.7076432704925537,29.675969341703752
2,small,3,Channel 1,3,23.0,0.8528101444244385,26.96966042251139
2,small,3,Channel 2,2,15.0,0.8528151512145996,17.588805708525047
2,small,3,Channel 3,2,12.0,0.8528168201446533,14.071017030321448
2,medium,1,Channel 1,12,149.0,2.176166296005249,68.46903211097273
2,medium,2,Channel 1,6,78.0,2.499638557434082,31.204511455475473
2,medium,2,Channel 2,6,71.0,2.4996440410614014,28.404044269380016
2,medium,3,Channel 1,4,52.0,3.3023250102996826,15.74648159639534
2,medium,3,Channel 2,4,49.0,3.30233097076416,14.83800395351087
2,medium,3,Channel 3,4,48.0,3.302332639694214,14.535180200515674
2,large,1,Channel 1,6,109.0,1.2736141681671143,85.58321878349096
2,large,2,Channel 1,3,54.0,1.4653525352478027,36.851200445678536
2,large,2,Channel 2,3,55.0,1.4653589725494385,37.53346519884526
2,large,3,Channel 1,2,36.0,2.2743446826934814,15.828735316128775
2,large,3,Channel 2,2,35.0,2.274348735809326,15.389020799198265
2,large,3,Channel 3,2,38.0,2.2743494510650635,16.70807447035232
