Iteration,File Group,Num Channels,Channel,Files Sent,Total Size (MB),Bandwidth (MB/s)
1,small,1,Channel 1,100,783,166.3855879
1,small,2,Channel 1,50,390,121.3482248
1,small,2,Channel 2,50,393,122.2815094
1,small,3,Channel 1,34,264,112.9909358
1,small,3,Channel 2,33,265,113.4182489
1,small,3,Channel 3,33,254,108.7101774
1,small,4,Channel 1,25,195,90.56608587
1,small,4,Channel 2,25,195,90.56572485
1,small,4,Channel 3,25,206,95.67446526
1,small,4,Channel 4,25,187,86.85002521
1,small,5,Channel 1,20,153,60.39773885
1,small,5,Channel 2,20,153,60.3975399
1,small,5,Channel 3,20,159,62.76602361
1,small,5,Channel 4,20,177,69.87157831
1,small,5,Channel 5,20,141,55.66036269
1,small,6,Channel 1,17,132,59.01967713
1,small,6,Channel 2,17,132,59.01936255
1,small,6,Channel 3,17,133,59.46640287
1,small,6,Channel 4,17,141,63.04328903
1,small,6,Channel 5,16,133,59.46630778
1,small,6,Channel 6,16,112,50.07685873
1,small,7,Channel 1,15,117,51.35169276
1,small,7,Channel 2,15,115,50.47370647
1,small,7,Channel 3,14,108,47.40135422
1,small,7,Channel 4,14,111,48.71803301
1,small,7,Channel 5,14,120,52.66808317
1,small,7,Channel 6,14,112,49.15684162
1,small,7,Channel 7,14,100,43.89002338
1,small,8,Channel 1,13,99,40.54713722
1,small,8,Channel 2,13,104,42.59481438
1,small,8,Channel 3,13,97,39.72780529
1,small,8,Channel 4,13,105,43.00428752
1,small,8,Channel 5,12,98,40.13728799
1,small,8,Channel 6,12,103,42.18488224
1,small,8,Channel 7,12,90,36.86054432
1,small,8,Channel 8,12,87,35.63183168
1,small,9,Channel 1,12,89,38.55635783
1,small,9,Channel 2,11,89,38.55621447
1,small,9,Channel 3,11,86,37.256536
1,small,9,Channel 4,11,83,35.95684855
1,small,9,Channel 5,11,86,37.25647059
1,small,9,Channel 6,11,96,41.58843362
1,small,9,Channel 7,11,96,41.58842073
1,small,9,Channel 8,11,77,33.35735501
1,small,9,Channel 9,11,81,35.09019013
1,small,10,Channel 1,10,72,27.93485485
1,small,10,Channel 2,10,81,31.42655472
1,small,10,Channel 3,10,79,30.65056773
1,small,10,Channel 4,10,74,28.71063979
1,small,10,Channel 5,10,84,32.5904409
1,small,10,Channel 6,10,75,29.09858641
1,small,10,Channel 7,10,86,33.36636674
1,small,10,Channel 8,10,91,35.30625546
1,small,10,Channel 9,10,66,25.60665182
1,small,10,Channel 10,10,75,29.09845183
1,small,11,Channel 1,10,72,33.44397028
1,small,11,Channel 2,9,73,33.90833844
1,small,11,Channel 3,9,71,32.97930634
1,small,11,Channel 4,9,70,32.51478386
1,small,11,Channel 5,9,70,32.51475506
1,small,11,Channel 6,9,71,32.97922599
1,small,11,Channel 7,9,76,35.30169106
1,small,11,Channel 8,9,75,34.83717969
1,small,11,Channel 9,9,78,36.2306428
1,small,11,Channel 10,9,60,27.8697098
1,small,11,Channel 11,9,67,31.12114148
1,small,12,Channel 1,9,64,30.04654316
1,small,12,Channel 2,9,74,34.74117942
1,small,12,Channel 3,9,73,34.27168101
1,small,12,Channel 4,9,69,32.39376617
1,small,12,Channel 5,8,60,28.16847026
1,small,12,Channel 6,8,65,30.51581887
1,small,12,Channel 7,8,60,28.16843557
1,small,12,Channel 8,8,73,34.27157743
1,small,12,Channel 9,8,68,31.9241841
1,small,12,Channel 10,8,65,30.51575055
1,small,12,Channel 11,8,51,23.94310592
1,small,12,Channel 12,8,61,28.6377941
1,small,13,Channel 1,8,58,24.83908553
1,small,13,Channel 2,8,67,28.69333264
1,small,13,Channel 3,8,62,26.55201476
1,small,13,Channel 4,8,62,26.55199849
1,small,13,Channel 5,8,57,24.41069333
1,small,13,Channel 6,8,64,27.40848099
1,small,13,Channel 7,8,63,26.98021796
1,small,13,Channel 8,8,70,29.97800465
1,small,13,Channel 9,8,68,29.12147239
1,small,13,Channel 10,7,62,26.55190902
1,small,13,Channel 11,7,50,21.41281674
1,small,13,Channel 12,7,47,20.12804568
1,small,13,Channel 13,7,53,22.69757184
1,small,14,Channel 1,8,58,24.50070752
1,small,14,Channel 2,8,67,28.30238182
1,small,14,Channel 3,7,53,22.38836335
1,small,14,Channel 4,7,54,22.81076692
1,small,14,Channel 5,7,54,22.81074854
1,small,14,Channel 6,7,54,22.81073246
1,small,14,Channel 7,7,57,24.07798568
1,small,14,Channel 8,7,54,22.81071179
1,small,14,Channel 9,7,58,24.5003818
1,small,14,Channel 10,7,62,26.19004748
1,small,14,Channel 11,7,62,26.19003165
1,small,14,Channel 12,7,50,21.12099114
1,small,14,Channel 13,7,47,19.85371968
1,small,14,Channel 14,7,53,22.38822806
1,small,15,Channel 1,7,53,22.96353756
1,small,15,Channel 2,7,54,23.3967321
1,small,15,Channel 3,7,55,23.82998768
1,small,15,Channel 4,7,54,23.39670551
1,small,15,Channel 5,7,55,23.82987198
1,small,15,Channel 6,7,50,21.66350208
1,small,15,Channel 7,7,59,25.56291925
1,small,15,Channel 8,7,53,22.96328611
1,small,15,Channel 9,7,60,25.99615953
1,small,15,Channel 10,7,58,25.12960271
1,small,15,Channel 11,6,55,23.82978337
1,small,15,Channel 12,6,50,21.66343942
1,small,15,Channel 13,6,40,17.3307408
1,small,15,Channel 14,6,40,17.33073543
1,small,15,Channel 15,6,47,20.3635994
1,small,16,Channel 1,7,53,21.64889978
1,small,16,Channel 2,7,54,22.05730514
1,small,16,Channel 3,7,55,22.46575844
1,small,16,Channel 4,7,54,22.05727722
1,small,16,Channel 5,6,48,19.60645909
1,small,16,Channel 6,6,42,17.15564502
1,small,16,Channel 7,6,50,20.42337897
